BundleID,BundlePrice
1,858
2,1146
3,1883
4,1220
5,1597
6,2471
7,2329
8,825
9,1473
10,1954
11,2492
12,1440
13,2436
14,1273
15,718
16,2238
17,1461
18,501
19,1222
20,2494
21,1618
22,2255
23,2017
24,2148
25,1519
26,2308
27,620
28,2326
29,528
30,2007
31,2212
32,1768
33,967
34,1843
35,2191
36,939
37,1234
38,1059
39,2272
40,967
41,634
42,761
43,1315
44,2345
45,996
46,1557
47,1875
48,1534
49,1930
50,1644
51,826
52,778
53,710
54,1834
55,2226
56,2175
57,609
58,1069
59,1545
60,539
61,1536
62,1489
63,803
64,1247
65,585
66,1450
67,1245
68,1109
69,1623
70,1905
71,532
72,2493
73,1293
74,2346
75,985
76,1307
77,659
78,1503
79,1210
80,1498
81,713
82,2015
83,2101
84,1491
85,1832
86,2306
87,1188
88,763
89,654
90,1768
91,632
92,1814
93,1327
94,901
95,1077
96,858
97,2230
98,2276
99,2132
100,1977
101,548
102,1459
103,1472
104,2048
105,1449
106,867
107,2022
108,1807
109,717
110,2154
111,2365
112,1809
113,914
114,520
115,1373
116,1371
117,2366
118,644
119,666
120,853
121,766
122,1116
123,832
124,1148
125,2438
126,1420
127,1091
128,1110
129,2058
130,867
131,1347
132,1487
133,2351
134,1177
135,652
136,1381
137,2158
138,2161
139,1060
140,1258
141,735
142,1241
143,651
144,2004
145,781
146,2076
147,2334
148,660
149,795
150,1594
151,2420
152,1250
153,1704
154,894
155,1621
156,2040
157,1406
158,724
159,2357
160,2125
161,2124
162,1987
163,556
164,1635
165,2188
166,831
167,1420
168,1893
169,801
170,2410
171,1249
172,1316
173,2402
174,1440
175,1138
176,727
177,1482
178,1623
179,945
180,1656
181,2127
182,2439
183,2189
184,2211
185,1452
186,616
187,1205
188,2491
189,2194
190,1273
191,969
192,972
193,2053
194,1246
195,2109
196,1496
197,2255
198,2090
199,2402
200,2499
